source_name,access_status,final_classification,homepage_status,listing_page_status,robots_txt_status,sitemap_status,detail_discovery_status,parser_status,parsed_sample_count,title_field_status,price_field_status,currency_field_status,builder_model_field_status,year_field_status,location_field_status,loa_field_status,engine_field_status,image_field_status,rendering_required,blocker_summary,ypi_role_candidate,recommended_next_action,readiness_rank
TheYachtMarket,reachable_public_200,parser_prototype_success,200,200,200,200,probable_3,parser_prototype_success,3,parsed_strong,parsed_strong,parsed_strong,parsed_strong,parsed_strong,parsed_strong,parsed_strong,parsed_strong,parsed_strong,no,Core parser fields are strong; broker field remains weak or missing.,broader_marketplace_backbone,Promote to adapter candidate #1 and use as the first broader marketplace backbone.,1
Marine One,reachable_public_200,parser_prototype_partial,200,200,200,200,not_run,parser_prototype_partial,4,parsed_strong,parsed_strong,parsed_strong,parsed_strong,parsed_strong,missing,parsed_strong,missing,parsed_strong,partial_for_location,"Core fields parse, but important fields remain weak or missing.",local_broker_trust_anchor,Promote to adapter candidate #2 and harden location/engine only within current safe scope.,2
Croatian Yachting,reachable_public_200,candidate_accessible_needs_browser_rendering,200,200,200,404,not_run,not_run,0,signal_visible,missing,missing,signal_partial,signal_visible,signal_visible,missing,signal_visible,missing,yes,Raw HTML discovery is incomplete; browser-visible rendering likely needed.,delayed_rendering_candidate,Delay until a small rendering-aware discovery step is explicitly approved.,4
Njuškalo Nautika,reachable_public_200,candidate_requires_rendering_for_detail_links,200,200,200,404,no_candidates_in_raw_html,not_run,0,signal_visible,missing,signal_partial,signal_partial,signal_visible,signal_visible,signal_visible,missing,signal_visible,yes,Raw HTML discovery is incomplete; browser-visible rendering likely needed.,delayed_rendering_candidate,Delay; only revisit if a safe rendering-based link-discovery check is later justified.,4
Burza Nautike,reachable_public_200,candidate_detail_discovery_partial,200,200,200,200,tested_none_probable,not_run,0,signal_visible,missing,signal_partial,signal_partial,signal_visible,signal_partial,signal_partial,signal_partial,signal_partial,no,"Deeper links were found, but they still resolved to category-like pages.",local_classifieds_anchor,Delay parser work; retry only with a tiny stricter detail-discovery pass later.,5
Yachtall,reachable_public_200,candidate_accessible_fields_weak,200,200,200,200,not_run,not_run,0,signal_visible,signal_visible,signal_visible,signal_visible,signal_visible,signal_visible,signal_visible,signal_visible,signal_visible,no,"Signals exist, but stable public detail-page evidence is still weak.",not_ready,Delay until stable public detail-page evidence is proven.,6
Band of Boats,blocked,blocked_403_do_not_bypass,not_tested,not_tested,403,403,not_run,not_run,0,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,no,HTTP 403 stop signal; do not bypass.,blocked_do_not_bypass,Hold; do not bypass. Revisit only with permission/feed/API access.,9
Boat24,blocked,blocked_403_do_not_bypass,not_tested,not_tested,200,403,not_run,not_run,0,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,no,HTTP 403 stop signal; do not bypass.,blocked_do_not_bypass,Do not use for MVP; revisit only through permission/feed/API or future research.,9
Boat24 Archives,blocked,blocked_403_do_not_bypass,not_tested,not_tested,200,403,not_run,not_run,0,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,no,HTTP 403 stop signal; do not bypass.,blocked_do_not_bypass,Hold; do not bypass. Revisit only with permission/feed/API access.,9
iNautia,blocked,blocked_403_do_not_bypass,not_tested,not_tested,403,403,not_run,not_run,0,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,no,HTTP 403 stop signal; do not bypass.,blocked_do_not_bypass,Hold; do not bypass. Revisit only with permission/feed/API access.,9
TopBoats,blocked,blocked_403_do_not_bypass,not_tested,not_tested,403,403,not_run,not_run,0,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,no,HTTP 403 stop signal; do not bypass.,blocked_do_not_bypass,Hold; do not bypass. Revisit only with permission/feed/API access.,9
